ID,Name,SpriteURL,BallType,TYPE,HP,ATK,DEF,SPATK,SPDEF,SPD
51,dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ultraball,ground,35,100,50,50,70,120
52,meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,pokeball,normal,40,45,35,40,40,90
53,persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,ultraball,normal,65,70,60,65,65,115
54,psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,pokeball,water,50,52,48,65,50,55
55,golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,ultraball,water,80,82,78,95,80,85
56,mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,pokeball,fighting,40,80,35,35,45,70
57,primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,GreatBall,fighting,65,105,60,60,70,95
58,growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,pokeball,fire,55,70,45,70,50,60
59,arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,ultraball,fire,90,110,80,100,80,95
60,poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,pokeball,water,40,50,40,40,40,90
61,poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,GreatBall,water,65,65,65,50,50,90
62,poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,ultraball,water/fighting,90,95,95,70,90,70
63,abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,pokeball,psychic,25,20,15,105,55,90
64,kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,GreatBall,psychic,40,35,30,120,70,105
65,alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,ultraball,psychic,55,50,45,135,95,120
66,machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,pokeball,fighting,70,80,50,35,35,35
67,machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,GreatBall,fighting,80,100,70,50,60,45
68,machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,ultraball,fighting,90,130,80,65,85,55
69,bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,pokeball,grass/poison,50,75,35,70,30,40
70,weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,GreatBall,grass/poison,65,90,50,85,45,55
71,victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,ultraball,grass/poison,80,105,65,100,70,70
72,tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,pokeball,water/poison,40,40,35,50,100,70
73,tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,ultraball,water/poison,80,70,65,80,120,100
74,geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,pokeball,rock/ground,40,80,100,30,30,20
75,graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,GreatBall,rock/ground,55,95,115,45,45,35
76,golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,ultraball,rock/ground,80,120,130,55,65,45
77,ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,pokeball,fire,50,85,55,65,65,90
78,rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,ultraball,fire,65,100,70,80,80,105
79,slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,pokeball,water/psychic,90,65,65,40,40,15
80,slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,ultraball,water/psychic,95,75,110,100,80,30
81,magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,pokeball,electric/steel,25,35,70,95,55,45
82,magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,GreatBall,electric/steel,50,60,95,120,70,70
83,farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,pokeball,normal/flying,52,90,55,58,62,60
84,doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,pokeball,normal/flying,35,85,45,35,35,75
85,dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,ultraball,normal/flying,60,110,70,60,60,110
86,seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,pokeball,water,65,45,55,45,70,45
87,dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,ultraball,water/ice,90,70,80,70,95,70
88,grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,pokeball,poison,80,80,50,40,50,25
89,muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,ultraball,poison,105,105,75,65,100,50
90,shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,pokeball,water,30,65,100,45,25,40
91,cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,ultraball,water/ice,50,95,180,85,45,70
92,gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,pokeball,ghost/poison,30,35,30,100,35,80
93,haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,GreatBall,ghost/poison,45,50,45,115,55,95
94,gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ultraball,ghost/poison,60,65,60,130,75,110
95,onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,pokeball,rock/ground,35,45,160,30,45,70
96,drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,pokeball,psychic,60,48,45,43,90,42
97,hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,ultraball,psychic,85,73,70,73,115,67
98,krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,pokeball,water,30,105,90,25,25,50
99,kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,ultraball,water,55,130,115,50,50,75
100,voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,pokeball,electric,40,30,50,55,55,100
101,electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,ultraball,electric,60,50,70,80,80,150
102,exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,pokeball,grass/psychic,60,40,80,60,45,40
103,exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,ultraball,grass/psychic,95,95,85,125,75,55
104,cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,pokeball,ground,50,50,95,40,50,35
105,marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ultraball,ground,60,80,110,50,80,45
106,hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,ultraball,fighting,50,120,53,35,110,87
107,hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,ultraball,fighting,50,105,79,35,110,76
108,lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,pokeball,normal,90,55,75,60,75,30
109,koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,pokeball,poison,40,65,95,60,45,35
110,weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,ultraball,poison,65,90,120,85,70,60
111,rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,pokeball,ground/rock,80,85,95,30,30,25
112,rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,GreatBall,ground/rock,105,130,120,45,45,40
113,chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,GreatBall,normal,250,5,5,35,105,50
114,tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,pokeball,grass,65,55,115,100,40,60
115,kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,pokeball,normal,105,95,80,40,80,90
116,horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,pokeball,water,30,40,70,70,25,60
117,seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,GreatBall,water,55,65,95,95,45,85
118,goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,pokeball,water,45,67,60,35,50,63
119,seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,ultraball,water,80,92,65,65,80,68
120,staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,pokeball,water,30,45,55,70,55,85
121,starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,ultraball,water/psychic,60,75,85,100,85,115
122,mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,pokeball,psychic/fairy,40,45,65,100,120,90
123,scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,pokeball,bug/flying,70,110,80,55,80,105
124,jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ultraball,ice/psychic,65,50,35,115,95,95
125,electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,GreatBall,electric,65,83,57,95,85,105
126,magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,GreatBall,fire,65,95,57,100,85,93
127,pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,pokeball,bug,65,125,100,55,70,85
128,tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,pokeball,normal,75,100,95,40,70,110
129,magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,pokeball,water,20,10,55,15,20,80
130,gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,ultraball,water/flying,95,125,79,60,100,81
131,lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,pokeball,water/ice,130,85,80,85,95,60
132,ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,pokeball,normal,48,48,48,48,48,48
133,eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,pokeball,normal,55,55,50,45,65,55
134,vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,ultraball,water,130,65,60,110,95,65
135,jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,ultraball,electric,65,65,60,110,95,130
136,flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,ultraball,fire,65,130,60,95,110,65
137,porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,pokeball,normal,65,60,70,85,75,40
138,omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,pokeball,rock/water,35,40,100,90,55,35
139,omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,ultraball,rock/water,70,60,125,115,70,55
140,kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,pokeball,rock/water,30,80,90,55,45,55
141,kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,ultraball,rock/water,60,115,105,65,70,80
142,aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,pokeball,rock/flying,80,105,65,60,75,130
143,snorlax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,ultraball,normal,160,110,65,65,110,30
144,articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,masterball,ice/flying,90,85,100,95,125,85
145,zapdos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,masterball,electric/flying,90,90,85,125,90,100
146,moltres,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,masterball,fire/flying,90,100,90,125,85,90
147,dratini,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,pokeball,dragon,41,64,45,50,50,50
148,dragonair,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,GreatBall,dragon,61,84,65,70,70,70
149,dragonite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,ultraball,dragon/flying,91,134,95,100,100,80
150,mewtwo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,masterball,psychic,106,110,90,154,90,130
151,mew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,masterball,psychic,100,100,100,100,100,100
152,chikorita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,pokeball,grass,45,49,65,49,65,45
153,bayleef,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,GreatBall,grass,60,62,80,63,80,60
154,meganium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,ultraball,grass,80,82,100,83,100,80
155,cyndaquil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,pokeball,fire,39,52,43,60,50,65
156,quilava,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,GreatBall,fire,58,64,58,80,65,80
157,typhlosion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,ultraball,fire,78,84,78,109,85,100
158,totodile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,pokeball,water,50,65,64,44,48,43
159,croconaw,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,GreatBall,water,65,80,80,59,63,58
160,feraligatr,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,ultraball,water,85,105,100,79,83,78
161,sentret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,pokeball,normal,35,46,34,35,45,20
162,furret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,ultraball,normal,85,76,64,45,55,90
163,hoothoot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,pokeball,normal/flying,60,30,30,36,56,50
164,noctowl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,ultraball,normal/flying,100,50,50,86,96,70
165,ledyba,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,pokeball,bug/flying,40,20,30,40,80,55
166,ledian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,ultraball,bug/flying,55,35,50,55,110,85
167,spinarak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,pokeball,bug/poison,40,60,40,40,40,30
168,ariados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,ultraball,bug/poison,70,90,70,60,70,40
169,crobat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,ultraball,poison/flying,85,90,80,70,80,130
170,chinchou,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,pokeball,water/electric,75,38,38,56,56,67
171,lanturn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,ultraball,water/electric,125,58,58,76,76,67
172,pichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,pokeball,electric,20,40,15,35,35,60
173,cleffa,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,pokeball,fairy,50,25,28,45,55,15
174,igglybuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,pokeball,normal/fairy,90,30,15,40,20,15
175,togepi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,pokeball,fairy,35,20,65,40,65,20
176,togetic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,GreatBall,fairy/flying,55,40,85,80,105,40
177,natu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,pokeball,psychic/flying,40,50,45,70,45,70
178,xatu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,ultraball,psychic/flying,65,75,70,95,70,95
179,mareep,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,pokeball,electric,55,40,40,65,45,35
180,flaaffy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,GreatBall,electric,70,55,55,80,60,45
181,ampharos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,ultraball,electric,90,75,85,115,90,55
182,bellossom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,ultraball,grass,75,80,95,90,100,50
183,marill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,GreatBall,water/fairy,70,20,50,20,50,40
184,azumarill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,ultraball,water/fairy,100,50,80,60,80,50
185,sudowoodo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,ultraball,rock,70,100,115,30,65,30
186,politoed,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,ultraball,water,90,75,75,90,100,70
187,hoppip,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,pokeball,grass/flying,35,35,40,35,55,50
188,skiploom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,GreatBall,grass/flying,55,45,50,45,65,80
189,jumpluff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,ultraball,grass/flying,75,55,70,55,95,110
190,aipom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,pokeball,normal,55,70,55,40,55,85
191,sunkern,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,pokeball,grass,30,30,30,30,30,30
192,sunflora,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,ultraball,grass,75,75,55,105,85,30
193,yanma,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,pokeball,bug/flying,65,65,45,75,45,95
194,wooper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,pokeball,water/ground,55,45,45,25,25,15
195,quagsire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,ultraball,water/ground,95,85,85,65,65,35
196,espeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,ultraball,psychic,65,65,60,130,95,110
197,umbreon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,ultraball,dark,95,65,110,60,130,65
198,murkrow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,pokeball,dark/flying,60,85,42,85,42,91
199,slowking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,ultraball,water/psychic,95,75,80,100,110,30
200,misdreavus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,pokeball,ghost,60,60,60,85,85,85
201,unown,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,pokeball,psychic,48,72,48,72,48,48
202,wobbuffet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,ultraball,psychic,190,33,58,33,58,33
203,girafarig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,pokeball,normal/psychic,70,80,65,90,65,85
204,pineco,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,pokeball,bug,50,65,90,35,35,15
205,forretress,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,ultraball,bug/steel,75,90,140,60,60,40
